description,category,amount
Purchase Grocery Store,groceries,-48.33
VODAFONE INBOUND TRANSFER DIRECT DEBIT,bills_utilities,-283.75
WINE,cafe_restaurant,-12.55
Local Market Monthly Milk,groceries,-16.81
trader joe's-madrid-stripe groceries,groceries,-24.78
elkjøp-de-contactless,shopping,-98.92
return mental health app,health,-76.69
Credit M&S Food,groceries,-15.11
iban hertz fare,transport,-27.58
Burger Joint Chm8S0Pqv7 Prague,cafe_restaurant,-51.71
DINER ONLINE SUSHI,cafe_restaurant,-7.83
DD HULU,entertainment,-122.3
Mortgage Electricity,bills_utilities,-917.75
purchase holland barrett dental,health,-135.26
total ride trip,transport,-9.54
Free Now Bill,transport,-27.88
RECURRING RENFE,transport,-66.96
rent payment (electricity bill) direct debit,bills_utilities,-1173.0
orlen,transport,-8.42
NIKE DIRECT DEBIT LAPTOP,shopping,-280.79
La Fitness Recurring Therapy,health,-11.02
COOP STRIPE VIENNA,groceries,-28.45
Direct Debit National Express,transport,-13.09
shuttle credited commute,transport,-34.61
AUTOPAY THAI RESTAURANT ORDER,cafe_restaurant,-53.19
mango-paris-autopay clothing,shopping,-345.36
CARD PAYMENT BISTRO LONDON,cafe_restaurant,-53.62
apple tv+ bill event ticket,entertainment,-144.12
Salary Delivery,income,4384.79
PAYMENT FROM LA FITNESS GYM,health,-165.48
CREDIT CONCERT VENUE DLC,entertainment,-57.72
VATTENFALL SUBSCRIPTION RENEWAL,bills_utilities,-169.86
BUPA DELIVERY,health,-142.21
PHYSIOTHERAPY PAYMENT,health,-59.4
FRESH FOOD CREDITED SUPERMARKET RUN,groceries,-122.58
AUTOPAY GREYHOUND DEBIT,transport,-74.67
Water Bill Electricity Rent Payment,bills_utilities,-1310.1
Q8 Bill,transport,-62.24
lloyds pharmacy received,health,-242.91
Chick-Fil-A Direct Debit Latte,cafe_restaurant,-13.01
so itsu,cafe_restaurant,-19.2
Direct Debit Museum Movie,entertainment,-90.32
Kebab Near Work,cafe_restaurant,-33.99
TRAVEL CARD (FREE NOW) COMMUTE,transport,-53.05
ONLINE ORDER (OUTLET STORE),shopping,-253.8
freelance payment visit freelance income,income,3795.43
Orlen,transport,-69.84
PAYMENT FROM L'OCCITANE APPLIANCE,shopping,-336.65
AUTOPAY HOME INSURANCE ELECTRICITY ANNUAL FEE,bills_utilities,-1221.48
organic downtown,groceries,-71.14
contactless tesco,groceries,-87.16
therapy | subscription | zgovlz,health,-94.72
RETURN DOUGLAS,shopping,-103.82
standing order pilates checkup,health,-32.58
dinner (diner) brunch,cafe_restaurant,-42.01
apple store*j8atvz6io dress,shopping,-165.56
GP SURGERY DIRECT DEBIT,health,-78.38
so outlet store shirt,shopping,-212.6
IBAN LA FITNESS PHYSIO PROTEIN,health,-89.63
TFL AUTO-RENEWAL,transport,-20.74
greyhound,transport,-18.05
order greyhound,transport,-44.33
shake shack-prague-recurring,cafe_restaurant,-4.58
PHYSIO DOWNTOWN GYM,health,-142.74
STANDING ORDER FERRY TICKET,transport,-26.61
BEER TAKEAWAY,cafe_restaurant,-21.17
Trousers Outing Accessories,shopping,-331.79
HERTZ CREDIT CHICAGO,transport,-41.46
SCIENCE CENTER DEBIT REF PMS7R1 GAMING,entertainment,-93.63
ORDER HABITAT TROUSERS,shopping,-414.29
Burger King Payment,cafe_restaurant,-61.56
Axa Health Card Prague Doctor Visit,health,-103.25
ORDER LYFT FERRY CROSSING,transport,-4.81
Greggs Payment Iban,cafe_restaurant,-30.51
next sepa/los angeles,shopping,-479.97
octopus energy mastercard ref f17564u2 rent payment,bills_utilities,-567.24
card payment decathlon gb,shopping,-380.74
APPLE STORE*PLMUHJ,shopping,-85.25
shake shack with friends,cafe_restaurant,-37.24
ORDER BAKERY LUNCH,cafe_restaurant,-61.48
Gog Auto-Renewal Club Entry,entertainment,-132.73
renfe / fare petrol,transport,-31.75
ESCAPE ROOM*GGMWLXJJHM,entertainment,-77.15
WAGE | TRANSFER | CGVFOXPLU CASHBACK CREDITED,income,5222.42
produce credited fresh food,groceries,-31.69
PURCHASE TRADER JOE'S,groceries,-67.03
WAITROSE | DEBIT | E1SYQ7Y ORGANIC,groceries,-75.74
Dd Gog Bowling,entertainment,-40.52
sky*sub prague,bills_utilities,-534.27
corner shop*ord chicago,groceries,-60.73
OLIVE GARDEN PAYMENT DRINKS,cafe_restaurant,-19.25
Wendy'S Monthly Sushi,cafe_restaurant,-16.03
ORANGE*CRE BRUSSELS ANNUAL FEE,bills_utilities,-501.31
Bowling Credited,entertainment,-39.18
SUBSCRIPTION NEAR WORK GAMING,entertainment,-81.93
direct debit nintendo,entertainment,-137.85
MONTHL EU DIRECT DEBIT WAGE CREDIT,income,1091.79
pret a eu pos cappuccino,cafe_restaurant,-36.93
spa payment card,health,-124.74
Breakfast (Restaurant),cafe_restaurant,-59.99
concert venue pos ref y5jplved,entertainment,-21.42
Fitness Class From Gnc Therapy,health,-18.8
DIESEL NEAR WORK,transport,-20.43
BULK FOOD,groceries,-97.32
Headphones Outing,shopping,-315.7
Tapas Bar/Fee/Berlin Espresso,cafe_restaurant,-39.77
DIRECT DEBIT CAFFE NERO BRUNCH,cafe_restaurant,-53.5
john lewis auto-renewal phone,shopping,-237.36
Rwe Received Gas,bills_utilities,-940.9
ANNUAL FEE FROM VODAFONE MONTHLY BILL,bills_utilities,-1218.68
airport transfer,transport,-78.11
DIRECT DEBIT MEDIAMARKT GIFT,shopping,-154.51
Taxi 5Qusgsx Brussels Ticket,transport,-79.44
FLIXBUS / AIRPORT TRANSFER TOLL,transport,-24.22
TICKET CREDITED,transport,-76.63
therapy,health,-26.98
SO APPLEBEE'S BRUNCH,cafe_restaurant,-54.61
Primark Payment Furniture,shopping,-142.26
olive garden contactless/new york kebab,cafe_restaurant,-64.49
Ferry/Transfer/Stockholm,transport,-20.16
trampoline park with friends,entertainment,-146.47
card payment pizza express gb burger,cafe_restaurant,-56.52
TRAIN IBAN REF DT5ATPH,transport,-39.03
TRADER JOE'S WITH FRIENDS BREAD,groceries,-88.26
subscription credited,entertainment,-29.89
primark sneakers,shopping,-437.31
CONCERT VENUE WITH FRIENDS NIGHT OUT,entertainment,-87.65
DD NETFLIX CONCERT TICKET,entertainment,-111.4
blood test*ug3jiq07h medicine,health,-72.96
CARD PAYMENT TOPSHOP MADRID APPLIANCE,shopping,-416.04
Direct Debit Octopus Energy Gas,bills_utilities,-656.75
DIRECT DEBIT THAMES WATER,bills_utilities,-480.19
FURNITURE FROM SHEIN DRESS,shopping,-162.86
Return Escape Room,entertainment,-136.28
EDEKA AUTO-RENEWAL BULK FOOD,groceries,-95.94
dividend payment outing freelance income,income,1822.31
Wine Bar Bill,cafe_restaurant,-14.27
Return Stripe Payout,income,1220.69
WAGE RECEIVED SALARY RECEIVED,income,5365.32
RETURN NEXT GADGET,shopping,-41.6
REVOLUT TRANSFER INVOICE TXN PAYOUT,income,5582.5
SATURN RECEIVED ACCESSORIES,shopping,-430.16
aviva health medicine,health,-239.0
COMEDY CLUB SG3QT2 VIENNA,entertainment,-141.97
DIRECT DEBIT ORLEN AIRPORT TRANSFER,transport,-58.92
Medical (Puregym),health,-101.58
WEB LOCAL MARKET DAIRY,groceries,-32.1
so netflix in-app purchase,entertainment,-71.91
VISA MEDIAMARKT LONDON,shopping,-302.02
primark inbound transfer gadget,shopping,-275.73
STANDING ORDER EASYJET TICKET,transport,-10.49
greyhound delivery,transport,-66.36
BROKER PAYOUT/TRANSFER/LONDON COMMISSION PAID,income,2100.26
FREELANCE PAYMENT | TRANSFER | 4QL09JK2R DIVIDEND PAYMENT,income,3449.97
whole  chicago recurring vegetables,groceries,-57.95
europcar auto-renewal,transport,-17.14
Elkjøp Visit,shopping,-113.02
supermarket,groceries,-11.3
DIRECT DEBIT CONCERT VENUE FILM,entertainment,-140.79
Card Payment Food Market Berlin Supermarket Run,groceries,-44.74
PHONE BILL - INSURANCE PREMIUM MORTGAGE PAYMENT,bills_utilities,-1410.13
MASTERCARD TOLL GATE EU,transport,-4.1
return douglas,shopping,-71.96
order migros groceries,groceries,-122.23
AIRPORT TRANSFER FROM AVIS CHARGING,transport,-53.89
Order Wizz Air,transport,-14.7
BILLA MILK,groceries,-113.69
burger king iban ref e3edrw4it3,cafe_restaurant,-47.82
EQUINOX STRIPE/FR,health,-160.09
PILATES AUTOPAY PROTEIN,health,-150.98
Itsu*W8Ng3U Wine,cafe_restaurant,-29.77
