description,category
deutsche bahn ach subscription,transport
utility payment bill via paypal,other
walgreens ach egypt sepa,health
Eat. Web Fee,food
WALMART RIDE PURCHASE,shopping
Chipotle Los Angeles Digital,food
trip orange,other
docmorris*txn vienna,health
zalando charge,shopping
Bbc Iplayer Expense Via Sepa,entertainment
EL CORTE INGLES PAYPAL SAN FRANCISCO,shopping
CLINIC FL #34809,health
Bart Expense Online Ny,transport
CVS SUBSCRIPTION,health
PHARMACY PAYPAL FL SEPA,health
HOSPITAL AMSTERDAM EUR,health
GREGGS SUBSCRIPTION ONLINE BOSTON,food
Apotek-Dallas-Ride,health
TARGET TXN VIA ECOM,shopping
DOCMORRIS FEE ONLINE VIENNA,health
target ecom expense,shopping
docmorris web france,health
Zalando Charge,shopping
TARGET*ORD US,shopping
Carrefour*Txn Ksa,shopping
pharmacy debit italy,health
BILLA CHARGE VIA POS,food
TRAINLINE--AMEX,transport
WENDY'S PURCHASE ONLINE AMSTERDAM,food
Rite Aid Charge,health
chase bill,other
verizon netherlands eur,other
Docmorris Payment Online Vienna,health
VODAFONE IBAN UAE,other
Trainline Pos Uk Sepa,transport
tfl eur eur,transport
gym eu #34049,health
walmart-new york-iban,shopping
At&T Purchase Via Txn,other
Hsbc Fl Sepa,other
NETFLIX ACH/DALLAS,entertainment
BEST BUY BILL ONLINE TX,shopping
Apotek Payment,health
mta credit new york sepa,transport
barclays online payment,other
unknown*pur egypt,other
CARREFOUR BERLIN EUR,shopping
uber expense via ecom,transport
T-Mobile-Paris-Txn,other
Ecom Wendy'S,food
STEAM PAYPAL TX,entertainment
Walgreens Chicago #43715,health
amc theatres online chicago sepa,entertainment
Boots Payment Online Vienna,health
atm fee online new york,other
best buy payment via intl,shopping
Walmart*Txn Eu,shopping
Pharmacy Txn Via Ach,health
Bart Berlin #96821,transport
Renfe Charge Via App,transport
Target Wire Berlin Sepa,shopping
ATM MILAN EUR,other
chipotle ny #15140,food
chipotle debit/vienna,food
Atm Ride Rome,other
barclays-uae-square,other
bart  eur,transport
Digital Amtrak,transport
lyft*pay seattle,transport
Amtrak Alex #97164,transport
spar fee,food
Chase Germany #51786,other
Amazon*Ord Giza,shopping
Disney+ Debit Order,entertainment
HSBC PURCHASE,other
Walmart Vienna Eur,shopping
paul bakery-austria-card,food
bbc iplayer ride tx sepa,entertainment
bart paris card,transport
UTILITY PAYMENT CHARGE ONLINE ROME,other
Pret A Manger Stripe/Berlin,food
Mta*Sub Milan,transport
target ach wa sepa,shopping
Barclays Delivery Wa Sepa,other
Chipotle Paypal Expense,food
Eurostar Card Dallas Sepa,transport
PAUL BAKERY*SUB AUSTRIA,food
T-MOBILE NETHERLANDS #34167,other
Orange-London-Intl,other
Verizon Bill,other
Steam Alex Eur,entertainment
Credit Docmorris,health
BOOTS WIRE FEE,health
Carrefour Pos Berlin Sepa,shopping
Tesco Ny Eur,shopping
STEAM-LOS ANGELES-ONLINE,entertainment
UTILITY PAYMENT WIRE/SAN FRANCISCO,other
Apotek Purchase Via Txn,health
Walmart Ecom Paris,shopping
CARREFOUR KSA SEPA,shopping
dunkin expense,food
Le Pain Quotidien Card Expense,food
dunkin*cha brussels,food
dunkin--wire,food
Bbc Iplayer-Los Angeles-Online,entertainment
hospital netherlands sepa,health
Rite Aid Vienna Eur,health
disney+-ny-mastercard,entertainment
xbox amex egypt sepa,entertainment
o2*bil usa,other
Xbox Ach Txn,entertainment
spotify expense,entertainment
Rite Aid Boston Eur,health
VODAFONE SUBSCRIPTION ONLINE USA,other
steam payment online ksa,entertainment
atm charge online chicago,other
NETFLIX PURCHASE,entertainment
greggs-usa-visa,food
subway trip/vienna,food
WENDY'S US APP,food
tfl madrid eur,transport
Online Pharmacy,health
ITALO CA EUR,transport
Pos Pret A Manger,food
Card Gym,health
spotify*fee eu,entertainment
uber app/miami,transport
eurostar london visa,transport
DUNKIN FRANCE EUR,food
verizon tx eur,other
MTA CA EUR,transport
netflix delivery payment,entertainment
ATM CREDIT AMSTERDAM,other
NANDO'S CREDIT/EGYPT,food
pos walmart,shopping
PRET A MANGER BILL,food
TRAINLINE TXN TXN,transport
GYM KSA EUR,health
le pain quotidien ride giza sepa,food
UTILITY PAYMENT EGYPT EUR,other
playstationhulu ride boston sepa,entertainment
amtrak netherlands eur,transport
barclays uae square,other
starbucks txn,food
PAUL BAKERY AUSTRIA #63776,food
Spar Visa Belgium,food
Target Uae #25277,shopping
renfe amex germany sepa,transport
deutsche bahn*sub seattle,transport
gym amex miami sepa,health
clinic txn,health
Spar*Ord Los Angeles,food
TESCO FEE ONLINE ALEX,shopping
bart amex/new york,transport
TFL MASTERCARD CHICAGO SEPA,transport
SKY TXN,entertainment
mta berlin eur,transport
Steam Us Wire,entertainment
Greggs Us Credit,food
DOCMORRIS ORDER ONLINE NEW YORK,health
Clinic Txn,health
utility payment txn/ca,other
Disney+ Mastercard Fl Sepa,entertainment
ZALANDO EU EUR,shopping
GYM ROME EUR,health
Tesco Digital Fee,shopping
Wendy'S Txn Online Ca,food
salary ride purchase,other
T-MOBILE CHARGE ONLINE SEPA,other
Nando'S Ride Purchase,food
CANAL+ ORDER,entertainment
zalando payment online eu,shopping
Hospital*Fee France,health
o2 stripe order,other
gym paypal charge,health
docmorris web london,health
eurostar sepa/wa,transport
WENDY'S PURCHASE ONLINE VIENNA,food
Uber Txn,transport
Clinic*Exp Los Angeles,health
TESCO SUBSCRIPTION VIA TXN,shopping
visa renfe,transport
TRIP BARCLAYS,other
Costco Digital Miami Sepa,shopping
Utility Payment-Vienna-Ride,other
Youtube Subscription,entertainment
Xbox  #30508,entertainment
Clinic Usa Eur,health
mastercard amtrak,transport
gym txn,health
ALDI ORDER ONLINE DALLAS,shopping
Tesco Subscription Online Ny,shopping
Aldi*Exp Boston,shopping
SKY PURCHASE,entertainment
BOOTS AMEX FRANCE,health
Billa Miami Eur,food
Spotify Bill Via Intl,entertainment
Apotek Ksa Ecom,health
Orange Subscription Via Txn,other
aldi bill via stripe,shopping
Deutsche Bahn Usa Eur,transport
vodafone fee online alex,other
NANDO'S MADRID EUR,food
O2 Usa Eur,other
BOLT PURCHASE ONLINE FRANCE,transport
AMC THEATRES TXN VIA ACH,entertainment
Billa Delivery/Egypt,food
wire clinic,health
DISNEY+-ALEX-INTL,entertainment
salary madrid txn,other
target ride/berlin,shopping
Stripe Bbc Iplayer,entertainment
T-MOBILE*PUR BELGIUM,other
BART APP ,transport
carrefour cairo eur,shopping
walgreens credit/alex,health
Salary Trip Expense,other
VISA APOTEK,health
GYM GIZA EUR,health
COSTCO EXPENSE ONLINE GERMANY,shopping
bank of america london eur,other
DOCMORRIS EXPENSE ONLINE NY,health
tfl ride charge,transport
Carrefour Fee Via Stripe,shopping
PAUL BAKERY ROME EUR,food
chipotle-italy-amex,food
CHIPOTLE CREDIT/MIAMI,food
amazon paypal fl,shopping
gym ride/new york,health
ONLINE LIDL,food
walgreens stripe/ca,health
Greggs-Alex-Debit,food
Xbox Netherlands Eur,entertainment
MASTERCARD YOUTUBE,entertainment
SPAR-AUSTRIA-CARD,food
visa paul bakery,food
Chipotle Il Sepa,food
Gym Eu #17079,health
BEST BUY EUR #66728,shopping
BILLA ECOM VIENNA SEPA,food
PAUL BAKERY ONLINE ROME,food
ALDI TX EUR,shopping
Clinic Web Amsterdam,health
clinic expense via iban,health
AMC THEATRES VIENNA EUR,entertainment
VERIZON PURCHASE ONLINE NETHERLANDS,other
Zalando London Visa,shopping
at&t purchase online dallas,other
CVS TXN,health
YOUTUBE CHICAGO SQUARE,entertainment
sky*fee dallas,entertainment
Paypal Target,shopping
BEST BUY ONLINE ITALY,shopping
Spotify Madrid #44377,entertainment
Boots Usa Eur,health
Zalando Order Online Boston,shopping
SKY EXPENSE ONLINE EUR,entertainment
Bart App Seattle Sepa,transport
ALDI ACH FRANCE SEPA,shopping
CHIPOTLE*TXN GERMANY,food
Bbc Iplayer Bill,entertainment
APOTEK CHARGE ONLINE NY,health
WENDY'S APP WA,food
chase order online belgium,other
SNCF MADRID EUR,transport
Bolt Milan #40029,transport
Sky Netherlands Eur,entertainment
SALARY TXN FL,other
Lyft Usa Delivery,transport
Bbc Iplayer Payment,entertainment
Deutsche Bahn Bill,transport
ALDI*SUB FRANCE,shopping
amazon usa eur,shopping
Bolt Txn,transport
Youtube Ecom/London,entertainment
disney+ fee online eur,entertainment
CANAL+ WEB ALEX SEPA,entertainment
BEST BUY SUBSCRIPTION,shopping
Pharmacy-Madrid-Online,health
CLINIC*PAY MILAN,health
STEAM FEE VIA CARD,entertainment
Sky Brussels #95637,entertainment
UBER ACH SAN FRANCISCO,transport
VODAFONE TRIP/IL,other
TESCO PURCHASE,shopping
CVS SAN FRANCISCO DEBIT,health
WALGREENS PURCHASE,health
Sky Intl/Tx,entertainment
GYM SUBSCRIPTION,health
Amtrak*Exp Fl,transport
PLAYSTATIONHULU SEPA SEPA,entertainment
Online Barclays,other
renfe digital madrid,transport
Rite Aid Ach Austria Sepa,health
walgreens bill,health
cvs-berlin-paypal,health
amc theatres visa berlin,entertainment
Rite Aid Txn/Italy,health
EUROSTAR MASTERCARD EU SEPA,transport
chase txn,other
boots digital/cairo,health
Spar Purchase Online Rome,food
Greggs Ksa Trip,food
AMTRAK SEPA #83511,transport
Pret A Manger Sepa/Uk,food
disney+ debit cairo sepa,entertainment
Lyft Expense Via Credit,transport
HSBC MILAN EUR,other
youtube-miami-iban,entertainment
ONLINE SPAR,food
VODAFONE*FEE ROME,other
eat. credit boston sepa,food
BEST BUY AMEX FRANCE,shopping
amazon purchase online chicago,shopping
PRET A MANGER TX #40187,food
Nando'S Intl Wa Sepa,food
TFL IBAN/FL,transport
VODAFONE ORDER VIA WIRE,other
SNCF BILL,transport
Taco Bell*Bil Fl,food
steam trip ca,entertainment
Deutsche Bahn*Exp Rome,transport
best buy subscription online us,shopping
docmorris sepa expense,health
EUROSTAR CHARGE ONLINE UK,transport
MTA*FEE NY,transport
Target*Pur Germany,shopping
PRET A MANGER-LONDON-ACH,food
tesco iban/new york,shopping
BARCLAYS ORDER,other
TRAINLINE SUBSCRIPTION VIA WEB,transport
Apotek Delivery Payment,health
Bart Purchase,transport
UBER SPAIN #69709,transport
GYM ONLINE CAIRO,health
hospital los angeles #51760,health
atm fee via wire,other
renfe fee online eur,transport
Playstationhulu Subscription Via Mastercard,entertainment
uber vienna eur,transport
Italo*Ord Madrid,transport
CANAL+ CAIRO #99297,entertainment
tfl purchase online sepa,transport
deutsche bahn txn payment,transport
paul bakery*exp tx,food
HSBC IBAN FEE,other
youtube txn online new york,entertainment
Walmart*Pay Dallas,shopping
greggs expense,food
DISNEY+*TXN PARIS,entertainment
VERIZON*CHA BERLIN,other
Docmorris Wa Debit,health
BOOTS APP MILAN SEPA,health
bank of america charge,other
STEAM TXN VIA TXN,entertainment
tfl subscription,transport
uber txn via wire,transport
